image id;older;tilted face;pose sideways;not only face / face not centered;photoshoped;black and white
486;;;X;;X;
493;;;;;X;
494;;;;;X;
495;;;;;X;
496;;;X;;;
500;;;;;X;
506;;;X;;;
507;;;;;X;
508;;;;;X;
513;;;;;X;
514;;;X;;;
515;;;X;;;
516;;X;;;;
517;;;;;X;
520;;;X;;;
521;;;;;X;
522;X;X;X;;X;
527;;X;;;X;
528;;X;X;;X;
529;;;;;X;
530;;;X;;;
532;;;;;X;
534;;;X;;;
535;;;;;X;
537;;;;;X;
539;;;X;;;
540;;;X;;;
541;;;X;;X;
543;X;;X;;X;
544;;;;;X;
546;;X;;;;
548;;X;;;;
549;;;X;;;
550;;;;;X;
553;;;;;X;
554;;X;;;;
556;;;X;;;
557;;X;;;;
562;X;;;;X;
563;;;;;X;
567;;X;;;X;
569;X;;;;X;
570;X;;;;;
571;X;;;;;
572;X;;;;;
574;;X;;;;
576;;X;;;;
577;X;;;;;
578;X;;;;X;
581;X;;;;X;
582;;X;;;;
586;;;;;X;
590;;;X;;;
593;X;;;;X;
605;;X;;;;
608;;;;;X;X
610;X;X;;;X;
611;;;X;;;
613;X;;;;X;
615;;;X;;;
620;;;;;X;
621;X;;;;;
624;;;;;X;
625;X;;;;;
626;;;X;;;
627;;;X;;;
628;;X;;;;
629;;;;;X;
631;;;;;X;
632;;;;;X;
634;;;X;;;
637;;;X;;;
639;;;X;;;
640;;;X;;;
642;;X;;;X;
643;;;;;X;
648;X;;;;;
649;X;;;;;
650;;;X;;;
651;X;X;;;;
653;;X;;;;
654;X;;X;;;
655;X;;X;;X;
656;;X;;;;
657;;;;;X;
658;;;;;X;
659;;;;;X;
664;;;;;X;
665;;;X;;;
666;;;X;;;
667;;X;;;;
668;X;;;;X;
671;;;X;;;
672;X;;X;;;
674;;;X;;;
676;;X;;;;
680;;X;;;;
681;;X;;;X;
688;;;X;;X;
690;X;;;;;
691;;;X;;;
692;;X;;;X;
693;;;X;;;
694;;;X;;;
696;;X;X;;;
697;;X;;;;
704;;X;X;;X;
707;;X;;;;
710;;;X;;X;
711;;;;;X;
712;;;X;;;
714;;;X;;;
715;X;;X;;;
716;X;;X;;;
717;;;;;X;
718;;;;;X;
720;X;;;;X;
721;X;;X;;X;
722;X;;X;;X;
724;;;;;X;
726;;;X;;;
728;;X;;;X;
729;;X;;;;
731;;;X;;;
732;;;;;X;
733;;X;X;;;
734;X;;;;;
735;;;X;;X;
736;;;X;;X;
737;;;X;;;
739;;;X;;;
749;X;;;;;
750;X;;X;;;
751;X;;;;;
754;;;;;X;
758;X;X;;;;
760;;;;;X;
761;;X;;;;
763;X;;;;X;
765;;X;X;;;
766;;;X;;;
767;;;;;X;
768;;;X;;X;
769;;;;;X;
773;X;;;;;
774;;;X;;;
776;;;X;;;
779;;;X;;;
784;;;;;X;
786;X;X;X;;;
787;;;;;X;
789;X;;X;;;
791;;;;;X;
797;;X;;;;
798;;;X;;;
801;;;;;X;
803;X;;;;;
804;;;;;X;
805;X;;;;;
806;X;;;;;
807;X;;;;;
808;;;X;;;
811;;X;;;;
812;;X;;;;
813;;;X;;;
814;;X;;;X;
815;;;;;X;
819;;X;;;;X
820;;;;;X;
825;;;;;X;
827;;X;;;X;
828;;;X;;;
831;X;;;;X;
832;X;;;;;
833;X;;;;;
836;X;;X;;;
837;X;X;;;;
839;;;;;X;
841;;;X;;;
842;;;X;;;
843;;;;;X;
845;;X;;;;
848;;;X;;;
850;;X;X;;;
851;X;;;;;
852;X;X;X;;X;
855;;;X;;;
856;;;X;X;;
857;;;;X;;
859;;X;;X;X;
862;;;;X;;
863;;;;X;;
864;;;;X;X;
865;;;;X;;
867;;X;;X;;X
868;;;;X;;
869;;;;X;;X
870;X;;;;;
873;;;;;X;
875;;;;;X;
876;;;;X;;
877;;;;X;;
878;X;;;;;
879;;;X;X;;
880;;;;X;;
881;;;;X;;
882;;;;X;;
883;X;;;;;
884;X;;;;X;
885;;;;X;;
886;X;;;;;
887;X;;;;;
888;;X;;;X;
894;;;;X;X;
895;X;;;;X;
896;;;;X;;
897;;X;;X;X;
898;X;;;;;
899;;;X;;;
902;;;;;X;
907;;;;;X;
912;;;;;X;
918;;;X;;;
921;;;X;;;
922;;X;;;;
925;;;;;X;
928;;X;X;;;
929;;;X;;;
936;;;X;;;X
939;;;X;;;X
942;;;X;;;
944;;;;;X;
945;;X;;;;
946;X;;;;;
949;;;X;;;
956;;X;;;;
959;X;;;;;
962;;;;;X;
963;;;X;;;
964;;X;;;;
965;;;;;X;
967;;X;;;;
969;;;X;;;
971;;X;X;;;
972;;;X;;;
973;;;X;;;
976;;;;;X;
980;;;;;X;
982;;;;;X;
983;;;;;X;
984;;X;;;;
985;;;;;X;
986;;;;;X;
988;;;;;X;
989;;;;;X;
991;;;;;X;
992;;;;;X;
995;;;;;X;
996;;;;;X;
997;;X;;;X;
998;X;;;;;
1000;;X;;;X;
1001;;;X;;;
1002;;;;;X;
1004;;;;;X;
1005;;;;X;X;
1006;;X;;X;X;
1007;;;;X;X;
1009;;;;X;X;
1010;;;;X;;
1012;;;;X;X;
1013;;;;;X;
1014;;;;X;X;
1015;;;;;;X
1016;;;X;X;X;
1017;;;;;X;
1019;;;X;X;;
1020;;;;X;;
1021;;X;;X;X;
1022;;;;;X;
1023;;;;X;;
1024;;;X;X;;X
1025;;;;X;;
1026;;X;;;;
1027;;;;X;;
1028;;;;X;;
1029;;;;X;X;
1030;X;;;;;X
1031;;;X;;;X
1032;;;;;X;
1033;;;;X;X;
1034;;;X;;X;
1036;;;X;;;
1037;;;;;X;
1039;;X;;;;
1041;X;;;X;;
1042;;;;;X;
1043;;;;;;X
1045;;;;X;X;
1047;X;;;;;
1048;X;;;;;
1049;;;;;X;
1053;;;;X;;
1054;;;;;X;
1055;;;;;X;
1057;;;;;X;
1061;;;;;X;
1064;;;;;X;
1065;;;X;;;
1067;;;X;;X;
1068;;;X;;X;
1069;;;;;X;
1070;;;;;X;
1073;;;;;X;
1074;;;X;;;
1077;;;;;X;
1078;X;;;;;
1080;;;X;;;
1081;;;;;X;
1082;;X;;;;
1084;X;;;;;
1085;X;;;;;
1087;;;X;;X;
1088;;;X;;;
1089;;;;;X;
1090;;;X;;X;
1091;;;;;X;
1095;;;;;X;
1097;;;X;;;
1099;;;X;;;
1101;;;X;;X;
1102;;;;;X;
1103;;;X;;X;
1105;;;;;;
1106;;X;;;;
1107;;;;;X;
1108;;;;;X;
1109;;;;;X;
1111;;;;;X;
1112;;;;;X;
1113;;;;;X;
1114;;X;;;;
1115;;;;;X;
1116;;;;;X;
1117;;;X;;;
1118;;;;;X;
1119;;X;;;;
1121;;;;;X;
1122;;;;;X;
1123;;;;;X;
1126;;;;;X;
1128;X;;;;;
1129;;;;;X;
1130;;;;;X;
1131;;;;;X;
1132;;;;;X;
1133;;;;;X;
1134;;;;;X;
1135;;;;;X;
1138;;;X;;;
1139;;;X;;X;
1140;;;X;;X;
1141;;;X;;;
1142;;;;;X;
1143;;;;;X;
1145;;X;;;X;
1147;;;;;X;X
1151;;;;;;X
1152;;X;;;X;
1153;;X;;;X;
1154;;;;;X;
1155;;X;;;X;
1156;;;;;X;
1157;;;;;X;
1159;;;;;X;
1161;;X;;;;
1168;;;;;X;
1171;;;;;X;
1172;;;;;X;
1173;;;;;X;
1174;;;;;X;
1175;;;;;X;
1176;;;;;X;
1177;;;;;X;
1179;;X;;;;
1181;;;;;X;
1185;X;;;;X;
1186;;;;;X;
1187;;X;;;X;
1188;X;;;;;
1190;;;;;X;
1191;;;;;X;
1192;;X;;;X;
1196;;;;;X;
1197;;;X;;X;
1198;;;;;X;
1200;;;;;X;
1204;;;;;X;
1206;;;X;;X;
1211;;X;;;;
1216;;X;;;X;
1217;;;X;;X;
1221;X;;;;X;
1227;;;;;X;
1231;;;;;X;
1233;;;;;X;
1234;;;;;X;
1236;;;;;X;
1241;;X;;;;
1245;;;X;;;
1252;;;X;;;
1256;;;;;;X
1261;;;X;;;
1265;;;X;;;
1266;;;X;;;
1268;;;X;;;
1270;;;X;;;
1282;;;;;X;
1284;X;;;;X;
1286;;;;;X;
1288;;;;;X;
1290;;;;;X;
1291;;;;;X;
1294;;;;;;X
1295;;;;;X;
1300;;;;;X;
1306;;;;;X;
1307;;;;;X;
1308;;;;;;X
1310;;X;;;X;
1311;;;;;X;
1312;;X;;;X;
1313;;;;;X;
1319;;;;;X;
1322;;;;;;X
1324;;;;;X;
1325;;;;;X;
1326;;;;;X;
1327;;;X;;X;
1328;;;;;X;
1331;;;;;X;
1335;;;;;X;
1337;;;;;X;
1338;;;X;;X;
1344;;;;;X;
1345;;;X;;;
1348;;;;;X;
1353;;;;;X;
1356;;X;;;;
1358;X;X;;;;
1359;;;;;X;
1362;X;;;;;
1363;;X;;;X;
1364;;X;;;;
1365;;;;;X;
1367;;;;;X;
1368;;X;;;;
1370;;X;;;X;
1371;;X;;;X;
1373;;;;;X;
1381;;;;;X;
1383;;;;;X;
1384;;X;;;X;
1391;;;;;X;
1394;;;;;X;
1395;;;;;X;
1396;;;;;X;
1397;;;;;X;
1399;;X;;;;
1401;;;;;X;
1403;;X;;;;
1404;;;X;;;
1406;;X;;;X;
1407;;;X;;;
1408;;X;;;;
1413;;;;;X;
1414;;;X;;;
1417;;;X;;X;
1418;X;;;;;
1419;;;X;;;
1420;;;;;X;
1421;;;;;X;
1422;;;X;;X;
1423;;;X;;X;
1424;;;X;;;
1425;X;;X;;;
1426;X;;X;;X;
1427;;;;;X;
1429;;;X;;;
1430;;X;X;;;
1431;;X;;;X;
1432;;;X;;;
1433;;;;;X;
1434;;;X;;;
1435;;X;;;;
1438;;;;;X;
1440;X;;;;;
1441;;;;;X;
1442;;;;;X;
1445;;;;;X;
1447;;;X;;;
1448;;;;;X;
1452;;;;;X;
1453;;X;;;X;
1455;;X;;;X;
1456;;X;X;;X;
1457;;;X;;;
1458;;;;;X;
1460;;;;;X;
1463;;;;;X;
1464;;;;;;X
1465;;X;;;;
1498;;;X;;;
1501;;;X;;;
1502;;;;;X;
1503;;X;;;X;
1507;;;;;X;
